SP Distance (m),simulated V
1382.11474,-42.956751
1382.793084,-43.148237
1383.480421,-43.185087
1386.791968,-43.369123
1387.888682,-43.395679
1389.368147,-43.570713
1390.033064,-43.592393
1390.758758,-43.767965
1392.893576,-43.794201
1393.485481,-43.970256
1394.846689,-43.986581
1395.822069,-44.148016
1396.225224,-44.147709
1397.000475,-44.289243
1397.687812,-44.267932
1398.663192,-44.389722
1399.255097,-44.349019
1400.038229,-44.44969
1400.716573,-44.382748
1401.995705,-44.453091
1402.492748,-44.355472
1403.180085,-44.397502
1403.955336,-44.274661
1405.425732,-44.295619
1406.208864,-44.158053
1406.984115,-44.170601
1407.863285,-44.029605
1408.550622,-44.041297
1409.237959,-43.902807
1409.925297,-43.922243
1412.034417,-43.795964
1412.626322,-43.835675
1413.313659,-43.747608
1413.992004,-43.830867
1414.679341,-43.788182
1416.36406,-43.916916
1425.238764,-43.917405
1425.830669,-44.082695
1426.412108,-44.114623
1427.595918,-44.305962
1428.764063,-44.357049
1429.355968,-44.562657
1430.948335,-44.623197
1431.54024,-44.823079
1432.132145,-44.873606
1432.72405,-45.059755
1433.305489,-45.092462
1433.897394,-45.258156
1434.489299,-45.273882
1435.657445,-45.427964
1436.24935,-45.436867
1436.841255,-45.588692
1437.433161,-45.59707
1438.014599,-45.746161
1439.429953,-45.750323
1441.458622,-45.895396
1442.050527,-45.899696
1442.547571,-46.053474
1443.225916,-46.070937
1443.722959,-46.2387
1445.073539,-46.269772
1447.921641,-46.451391
1448.513547,-46.497642
1448.998079,-46.696717
1449.589984,-46.764064
1450.087028,-46.985894
1450.678933,-47.074653
1451.750649,-47.31393
1452.247693,-47.413959
1452.829131,-47.661466
1453.421037,-47.768958
1453.91808,-48.023557
1454.509986,-48.138741
1454.897611,-48.401903
1455.394655,-48.52452
1455.976094,-48.795153
1456.473138,-48.929416
1457.448518,-49.220052
1458.658008,-49.381689
1459.14254,-49.701982
1459.639584,-49.892135
1460.124116,-50.237561
1460.62116,-50.448389
1461.118204,-50.807728
1461.699642,-51.025736
1462.675023,-51.388116
1463.172067,-51.60698
1463.66911,-51.967197
1464.347456,-52.179244
1465.998588,-52.531883
1466.580027,-52.740531
1467.077071,-53.090418
1467.574115,-53.296749
1469.340676,-53.644968
1469.932582,-53.850231
1470.524487,-54.200515
1471.021531,-54.409098
1471.60297,-54.760395
1472.100014,-54.965489
1472.691919,-55.309732
1473.763636,-55.502887
