%SP Distance (m),simulated V
782.194279,-53.64879701
783.319292,-53.66345889
784.444304,-53.67832432
785.589995,-53.69367265
786.715007,-53.70895031
787.84002,-53.72443296
788.965033,-53.74012111
789.981063,-53.75446656
791.106075,-53.77054731
793.220543,-53.80133226
794.236573,-53.81638636
795.238643,-53.83140054
796.130478,-53.84490288
797.146507,-53.86044643
798.445825,-53.88057444
800.449966,-53.91217509
801.465995,-53.92845357
802.468066,-53.94467928
803.580487,-53.96289129
804.966933,-53.98588462
805.853487,-54.00075995
807.739906,-54.0328618
808.741976,-54.05016463
809.633811,-54.06571082
810.631185,-54.0832612
811.628558,-54.10098592
812.630629,-54.11897054
814.5245,-54.15344643
815.52657,-54.17194663
816.434061,-54.18885609
817.559074,-54.21002472
818.575104,-54.22933972
819.508106,-54.24724191
820.441109,-54.26530345
822.114658,-54.29810256
823.082247,-54.31730279
823.949434,-54.33465915
824.719085,-54.3501815
825.444776,-54.36491948
826.120995,-54.37874241
826.846686,-54.39367327
827.472416,-54.40662812
828.148635,-54.42071258
828.774365,-54.43382378
829.89066,-54.45740192
832.26777,-54.5084202
832.943988,-54.52313648
833.600691,-54.53751487
835.28773,-54.57484703
836.0909,-54.59282134
836.974175,-54.61273931
837.699866,-54.62922274
839.608874,-54.67310114
840.558743,-54.69521537
841.589229,-54.71942011
842.756449,-54.74710724
843.777777,-54.77157154
845.270623,-54.80773349
847.179631,-54.85468221
848.200959,-54.88012922
849.297664,-54.90771267
850.318992,-54.93364306
851.011578,-54.95136134
852.032905,-54.97768933
853.063393,-55.0044965
854.963131,-55.05456383
855.993619,-55.08207762
856.876893,-55.10586215
857.760168,-55.12983418
858.790655,-55.15804057
859.67393,-55.18242423
860.704417,-55.21111534
861.587692,-55.23591839
862.537562,-55.26281056
864.369354,-55.31532028
865.172526,-55.33861676
866.048404,-55.36421411
866.779538,-55.38573605
867.655416,-55.41170571
868.465746,-55.43591498
869.358771,-55.46280061
870.234649,-55.48938159
872.140453,-55.54795261
873.093354,-55.57762066
874.046256,-55.60754757
875.473511,-55.65286259
876.451843,-55.68426882
878.37461,-55.7468239
878.962227,-55.76616424
879.895591,-55.7971018
880.920086,-55.83137079
882.036685,-55.86909594
883.03076,-55.90301543
884.024835,-55.93725376
885.947603,-56.00439932
886.972098,-56.04068071
887.871967,-56.07284324
888.805331,-56.10649797
889.7052,-56.13923313
890.638564,-56.17348967
891.571928,-56.20805882
893.25897,-56.27134928
894.065273,-56.30197171
894.908794,-56.33427055
895.752315,-56.36684172
896.507742,-56.39624539
897.263168,-56.42587298
898.818775,-56.48760053
899.488545,-56.51447958
900.294847,-56.54708315
901.050273,-56.57787565
901.8057,-56.60890941
902.519328,-56.6384504
903.274754,-56.66996218
904.030181,-56.70172458
904.836483,-56.73590626
906.301948,-56.79878612
907.057374,-56.83158678
907.812801,-56.86465552
908.526429,-56.89614411
909.240057,-56.92787847
909.8623,-56.9557522
910.617726,-56.98984968
912.044982,-57.05505689
912.75861,-57.088053
913.472238,-57.1213157
914.227665,-57.1568214
914.914995,-57.18939365
915.628623,-57.22348547
916.342251,-57.2578598
917.055879,-57.29252083
918.611487,-57.36909161
919.325115,-57.40469351
919.947358,-57.43598548
925.595113,-57.73118741
926.35054,-57.77228418
927.133663,-57.81531208
928.009542,-57.86395829
932.396371,-58.11632309
934.599118,-58.24888713
935.221362,-58.28708831
935.976789,-58.33392685
936.267505,-58.35208881
937.022932,-58.39964413
937.73656,-58.44505548
938.491987,-58.49365353
939.205616,-58.54007079
940.725284,-58.6406094
941.438912,-58.68864029
941.892658,-58.71945913
942.648086,-58.77125962
944.973977,-58.93474394
945.687605,-58.98616175
946.020063,-59.01032465
947.682298,-59.13318494
950.073122,-59.31618122
951.067199,-59.39457558
951.96707,-59.46676623
952.370222,-59.49949612
953.364299,-59.58125257
954.333353,-59.66243222
955.32743,-59.74728046
956.399135,-59.84060258
957.374505,-59.9272631
957.47141,-59.93596516
960.580294,-60.22442989
961.549348,-60.31821245
962.621053,-60.42419946
963.590107,-60.52215814
964.469268,-60.61283121
965.444639,-60.71549319
966.413693,-60.81970479
967.285842,-60.91543351
968.15799,-61.01304209
969.030139,-61.11256899
969.527178,-61.17016048
970.302421,-61.2612642
972.046719,-61.47199399
972.918868,-61.58034723
973.791016,-61.6906674
974.670178,-61.80381647
975.542327,-61.91790824
976.325451,-62.02182097
978.083773,-62.25947074
978.866897,-62.36678944
979.746058,-62.48785773
981.600554,-62.74258842
982.500424,-62.86395809
983.306728,-62.97001538
984.206599,-63.08373621
985.853121,-63.27124456
986.786487,-63.3593127
987.592791,-63.41986876
988.436314,-63.46287177
989.279837,-63.478933
990.179708,-63.45765295
991.866754,-63.2695309
993.479362,-62.83028104
994.37239,-62.43951893
995.215913,-61.95394124
995.437551,-61.80604991
997.084073,-60.43079655
997.839501,-59.64314264
1000.242245,-56.71737683
1000.574703,-56.2967022
1001.231409,-55.48138301
1002.074932,-54.48979193
1002.744703,-53.7662579
1004.142566,-52.48168711
1005.120901,-51.77491032
1005.56254,-51.5059619
1006.293675,-51.12428016
1007.049104,-50.80585463
1007.859436,-50.53955511
1008.529207,-50.37031239
1009.260342,-50.23050525
1009.930113,-50.13768779
1010.661249,-50.06896009
1012.059113,-50.01338112
1012.715818,-50.01458423
1013.471247,-50.0329776
1014.127952,-50.06137658
1015.683564,-50.16454432
1016.353335,-50.22110199
1017.084471,-50.2892706
1017.741176,-50.35528094
1018.472312,-50.43319308
1018.956107,-50.48691646
1020.496564,-50.66700843
1021.306896,-50.76601601
1022.182777,-50.87547723
1022.99311,-50.97852964
1023.724246,-51.07267018
1024.677151,-51.19665037
1026.217608,-51.39927988
1026.948744,-51.49611818
1027.824625,-51.61251517
1028.555761,-51.70991897
1029.366094,-51.81806232
1030.09723,-51.91576291
1030.900404,-52.02319227
1032.362676,-52.21897886
1033.093813,-52.31694981
1033.904146,-52.42559061
1034.635282,-52.52367041
1035.366418,-52.62181297
1036.03619,-52.71178367
1036.846523,-52.82073613
1037.577659,-52.91915291
1039.057117,-53.11871187
1039.86745,-53.22830288
1040.677784,-53.33814096
1041.553665,-53.45718356
1042.363998,-53.56765439
1043.095135,-53.66764089
1055.800264,-55.48887206
1057.197086,-55.70393198
1057.928223,-55.81815688
1059.520587,-56.07122279
1060.251724,-56.18953142
1060.982861,-56.30926454
1061.713998,-56.43049434
1062.445135,-56.55329653
1063.101841,-56.66500306
1063.771614,-56.78036766
1064.502751,-56.9080353
1065.900618,-57.15749191
1066.57039,-57.27967844
1067.240163,-57.40370133
1067.909935,-57.52964768
1068.579707,-57.65761007
1069.24948,-57.78768637
1070.505821,-58.03774594
1071.128067,-58.16471268
1071.79784,-58.30383182
1072.467612,-58.44562281
1073.137385,-58.59022452
1073.807157,-58.73778416
1074.429404,-58.87766196
1075.099176,-59.03138304
1076.355518,-59.32919056
1077.025291,-59.49336903
1077.695063,-59.66159219
1078.364836,-59.83409763
1079.034608,-60.01114034
1079.622228,-60.1704217
1080.353366,-60.37408126
1081.023139,-60.5663089
1081.692911,-60.76430823
1082.949253,-61.15262102
1083.619026,-61.36944337
1084.206646,-61.56577361
1084.794266,-61.76817567
1085.464039,-62.00676573
1086.782389,-62.50329853
1087.452162,-62.7705918
1088.121935,-63.04904247
1088.932269,-63.40208688
1089.663407,-63.7371244
