DCx,X,Z,K,Theta,q
2228,18791,-1.298000,0.000353914,171.6047932,0.569998136
2233,18786,-1.298000,0.000359631,181.401863,2.977845593
2238,18781,-1.298000,0.000362981,245.450182,0.979498787
2243,18776,-1.298000,0.000366574,100.3701415,0.682630487
2248,18771,-1.298000,0.000367761,295.4259133,2.831132188
2253,18766,-1.298000,0.000368777,359.2433558,2.432540622
2258,18761,-1.298000,0.000366602,270.6406594,2.77333248
2263,18756,-1.298000,0.000366925,335.7513103,2.155506001
2268,18751,-1.298000,0.000369902,256.3369007,2.637769684
2273,18746,-1.298000,0.000370625,231.8104737,2.595185302
2278,18741,-1.298000,0.00037343,333.3498124,1.072275265
2283,18736,-1.298000,0.000375673,273.8454883,0.408829405
2288,18731,-1.298000,0.000375892,56.88212514,2.417341228
2293,18726,-1.298000,0.000375469,304.9303203,2.04337454
2298,18721,-1.298000,0.000374064,353.2870216,1.294161349
2303,18716,-1.298000,0.000370948,175.2644873,2.841346257
2308,18711,-1.298000,0.000366545,335.7478065,2.853518211
2313,18706,-1.298000,0.000362097,191.7553798,0.096241822
2318,18701,-1.298000,0.000358686,251.9412603,0.82850028
2323,18696,-1.298000,0.000356584,246.3861333,0.203259039
2328,18691,-1.298000,0.000354549,346.2995145,2.480847905
2333,18686,-1.298000,0.000352574,257.23542,1.188970336
2338,18681,-1.298000,0.000351725,267.1258284,1.743530135
2343,18676,-1.298000,0.000349855,101.6070003,1.03060134
2348,18671,-1.298000,0.000348624,313.2648947,2.913629231
2353,18666,-1.298000,0.000348323,44.17324533,1.810217417
2358,18661,-1.298000,0.000348624,140.9017162,2.00292345
2363,18656,-1.298000,0.000351436,278.1048915,2.589975483
2368,18651,-1.298000,0.000354387,300.3101559,1.260261145
2373,18646,-1.298000,0.000356715,183.0165352,0.220233007
2378,18641,-1.298000,0.000358317,359.3746502,2.614191175
2383,18636,-1.298000,0.00035937,239.1359447,2.083962731
2388,18631,-1.298000,0.000360296,34.34349952,2.524274068
2393,18626,-1.298000,0.000361859,250.1533885,2.028737504
2398,18621,-1.298000,0.000364391,218.708767,2.104205126
2403,18616,-1.298000,0.000366838,133.816287,2.686251652
2408,18611,-1.298000,0.000368257,6.93217825,1.762241789
2413,18606,-1.298000,0.000372327,335.2905193,0.975586088
2418,18601,-1.298000,0.000375325,79.40663782,2.984551937
2423,18596,-1.298000,0.000375978,32.51883997,0.62261528
2428,18591,-1.298000,0.000377468,196.7857584,0.858757849
2433,18586,-1.298000,0.000378361,155.9150579,2.499325016
2438,18581,-1.298000,0.000378525,190.5322613,2.310743242
2443,18576,-1.298000,0.000378219,322.3867214,0.601737323
2448,18571,-1.298000,0.000377149,25.23204478,2.29429889
2453,18566,-1.298000,0.000376149,27.76804592,1.847770178
2458,18561,-1.298000,0.00037571,70.97461149,2.892802248
2463,18556,-1.298000,0.000375119,230.5717405,1.511073777
2468,18551,-1.298000,0.000374712,115.3175907,1.436105468
2473,18546,-1.298000,0.000374046,37.08938678,1.757090562
